,,0,1,2,3,4
454,48,1,1,1,1,1
454,49,1,1,1,1,1
454,88,1,1,1,1,1
454,160,1,1,1,1,1
454,166,1,1,1,1,1
460,63,1,1,1,1,1
460,76,1,1,1,1,1
460,108,1,1,1,1,1
460,138,1,1,1,1,1
460,139,1,1,1,1,1
460,171,1,1,1,1,1
480,4,1,1,1,1,1
480,53,1,1,1,1,1
480,105,1,1,1,1,1
480,156,1,1,1,1,1
480,157,1,1,1,1,1
480,187,1,1,1,1,1
482,51,1,1,1,1,1
482,65,1,1,1,1,1
482,74,1,1,1,1,1
482,83,1,1,1,1,1
482,109,1,1,1,1,1
482,131,1,1,1,1,1
482,133,1,1,1,1,1
482,168,1,1,1,1,1
482,178,1,1,1,1,1
482,186,1,1,1,1,1
482,194,1,1,1,1,1
489,4,1,1,1,1,1
489,53,1,1,1,1,1
489,105,1,1,1,1,1
489,156,1,1,1,1,1
489,157,1,1,1,1,1
489,187,1,1,1,1,1
501,20,1,1,1,1,1
501,57,1,1,1,1,1
501,62,1,1,1,1,1
501,77,1,1,1,1,1
501,86,1,1,1,1,1
501,100,1,1,1,1,1
501,117,1,1,1,1,1
501,146,1,1,1,1,1
501,155,1,1,1,1,1
501,176,1,1,1,1,1
501,183,1,1,1,1,1
504,14,1,1,1,1,1
504,16,1,1,1,1,1
504,46,1,1,1,1,1
504,58,1,1,1,1,1
504,103,1,1,1,1,1
504,136,1,1,1,1,1
504,153,1,1,1,1,1
524,14,1,1,1,1,1
524,16,1,1,1,1,1
524,46,1,1,1,1,1
524,58,1,1,1,1,1
524,103,1,1,1,1,1
524,136,1,1,1,1,1
524,153,1,1,1,1,1
528,4,1,1,1,1,1
528,53,1,1,1,1,1
528,105,1,1,1,1,1
528,156,1,1,1,1,1
528,157,1,1,1,1,1
528,187,1,1,1,1,1
530,5,1,1,1,1,1
530,30,1,1,1,1,1
530,191,1,1,1,1,1
535,87,1,1,1,1,1
535,93,1,1,1,1,1
535,107,1,1,1,1,1
535,137,1,1,1,1,1
535,170,1,1,1,1,1
535,185,1,1,1,1,1
549,5,1,1,1,1,1
549,30,1,1,1,1,1
549,191,1,1,1,1,1
555,14,1,1,1,1,1
555,16,1,1,1,1,1
555,46,1,1,1,1,1
555,58,1,1,1,1,1
